IDCode,Fur_THg_ng/g_dw,WingPunch_MeHg_ng/g_dw,WholeBlood_THg_ng/g_ww,CommonName,Sex,CollectionDate,SiteName,SiteCode,NationalParkUnit,Latitude,Longitude
23BATS0004,3441,,9.4,Long-legged myotis,F,5/26/2023,Cliff Palace Tunnel,MEVE-02,Mesa Verde National Park (MEVE),37.166668,-108.473412
23BATS0007,4386,59.8,11.1,Long-legged myotis,F,5/26/2023,Cliff Palace Tunnel,MEVE-02,Mesa Verde National Park (MEVE),37.166668,-108.473412
23BATS0006,3877,36.3,13.0,Long-legged myotis,F,5/26/2023,Cliff Palace Tunnel,MEVE-02,Mesa Verde National Park (MEVE),37.166668,-108.473412
23BATS0008,3638,45.9,25.6,Long-legged myotis,F,5/26/2023,Cliff Palace Tunnel,MEVE-02,Mesa Verde National Park (MEVE),37.166668,-108.473412
23BATS0022,3842,,24.0,Long-legged myotis,F,5/26/2023,Cliff Palace Tunnel,MEVE-02,Mesa Verde National Park (MEVE),37.166668,-108.473412
23BATS0009,2118,,11.4,Long-legged myotis,M,5/26/2023,Cliff Palace Tunnel,MEVE-02,Mesa Verde National Park (MEVE),37.166668,-108.473412
23BATS0020,4731,,17.4,Long-legged myotis,F,5/26/2023,Cliff Palace Tunnel,MEVE-02,Mesa Verde National Park (MEVE),37.166668,-108.473412
23BATS0021,3614,,15.0,Long-legged myotis,F,5/26/2023,Cliff Palace Tunnel,MEVE-02,Mesa Verde National Park (MEVE),37.166668,-108.473412
23BATS0109,5884,221.7,51.8,Big brown bat,F,6/12/2023,No Thoroughfare 1st Pool,COLM-07,Colorado National Monument (COLM),39.023598,-108.640905
23BATS0120,4604,85.9,23.4,Big brown bat,M,6/12/2023,No Thoroughfare 1st Pool,COLM-07,Colorado National Monument (COLM),39.023598,-108.640905
23BATS0112,8628,151,82.8,Big brown bat,F,6/12/2023,No Thoroughfare 1st Pool,COLM-07,Colorado National Monument (COLM),39.023598,-108.640905
23BATS0114,5150,73.4,31.8,Big brown bat,M,6/12/2023,No Thoroughfare 1st Pool,COLM-07,Colorado National Monument (COLM),39.023598,-108.640905
23BATS0116,3094,49.5,14.1,Silver-haired bat,M,6/12/2023,No Thoroughfare 1st Pool,COLM-07,Colorado National Monument (COLM),39.023598,-108.640905
23BATS0119,9147,276.7,,Western small-footed myotis,F,6/12/2023,No Thoroughfare 1st Pool,COLM-07,Colorado National Monument (COLM),39.023598,-108.640905
23BATS0101,3442,,126.9,Yuma myotis,F,6/2/2023,Colorado River Bridge (Fruita),COLM-06,Colorado National Monument (COLM),39.140924,-108.738256
